Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,Temperature,Humidity
Rice,2003,Kharif     ,Bihar,190236.0,270831,1353.9,18829559.28,45656.64,1.42,63,71,56,31.15,60.82
Rice,2003,Kharif     ,Bihar,190236.0,270831,1353.9,18829559.28,45656.64,1.42,118,25,31,23.27,88.82
Rice,2003,Kharif     ,Bihar,190236.0,270831,1353.9,18829559.28,45656.64,1.42,67,73,21,32.63,51.39
Rice,2003,Summer     ,Bihar,116885.0,169902,1353.9,11569277.3,28052.4,1.324642857,73,51,25,27.41,66.98
Rice,2003,Summer     ,Bihar,116885.0,169902,1353.9,11569277.3,28052.4,1.324642857,63,71,56,31.15,60.82
Rice,2003,Summer     ,Bihar,116885.0,169902,1353.9,11569277.3,28052.4,1.324642857,118,25,31,23.27,88.82
Rice,2003,Summer     ,Bihar,116885.0,169902,1353.9,11569277.3,28052.4,1.324642857,67,73,21,32.63,51.39
Rice,2003,Winter     ,Bihar,2907199.0,4589705,1353.9,287754557.0,697727.76,1.456315789,73,51,25,27.41,66.98
Rice,2003,Winter     ,Bihar,2907199.0,4589705,1353.9,287754557.0,697727.76,1.456315789,63,71,56,31.15,60.82
Rice,2003,Winter     ,Bihar,2907199.0,4589705,1353.9,287754557.0,697727.76,1.456315789,118,25,31,23.27,88.82
Rice,2003,Winter     ,Bihar,2907199.0,4589705,1353.9,287754557.0,697727.76,1.456315789,67,73,21,32.63,51.39
Safflower,2003,Rabi       ,Bihar,200.0,162,1353.9,19796.0,48.0,0.864285714,91,52,72,22.34,72.4
Sannhamp,2003,Whole Year ,Bihar,3441.0,2467,1353.9,340590.18,825.84,0.713076923,106,27,44,24.95,56.08
Sesamum,2003,Kharif     ,Bihar,3795.0,2840,1353.9,375629.1,910.8,0.731785714,132,69,47,28.87,62.77
Small millets,2003,Kharif     ,Bihar,7010.0,5325,1353.9,693849.8,1682.4,0.7809375,61,72,64,31.05,57.36
Sugarcane,2003,Whole Year ,Bihar,103100.0,4285888,1353.9,10204838.0,24744.0,39.12181818,131,55,56,23.99,89.81
Sunflower,2003,Kharif     ,Bihar,17531.0,24157,1353.9,1735218.38,4207.44,1.352758621,66,24,36,34.22,51.29
Sweet potato,2003,Whole Year ,Bihar,4551.0,63938,1353.9,450457.98,1092.24,12.97965517,79,24,88,30.59,71.65
Tobacco,2003,Whole Year ,Bihar,14353.0,15960,1353.9,1420659.94,3444.72,1.103333333,137,66,75,23.27,74.32
Turmeric,2003,Whole Year ,Bihar,2789.0,2758,1353.9,276055.22,669.36,0.994782609,124,29,77,30.89,80.89
Urad,2003,Kharif     ,Bihar,24199.0,18009,1353.9,2395217.02,5807.76,0.747878788,148,59,23,30.45,75.04
Wheat,2003,Rabi       ,Bihar,2076839.0,3688941,1353.9,205565524.2,498441.36,1.747105263,72,77,74,31.29,59.25
Arhar/Tur,2003,Kharif     ,Chhattisgarh,52307.0,31541,1643.7,5177346.86,12553.68,0.58125,130,26,68,33.74,73.92
Bajra,2003,Kharif     ,Chhattisgarh,47.0,19,1643.7,4652.06,11.28,0.5575,50,31,57,30.68,89.0
Bajra,2003,Kharif     ,Chhattisgarh,47.0,19,1643.7,4652.06,11.28,0.5575,128,49,64,25.28,83.94
Bajra,2003,Whole Year ,Chhattisgarh,283.0,11291,1643.7,28011.34,67.92,38.706,50,31,57,30.68,89.0
Bajra,2003,Whole Year ,Chhattisgarh,283.0,11291,1643.7,28011.34,67.92,38.706,128,49,64,25.28,83.94
Barley,2003,Rabi       ,Chhattisgarh,4354.0,4337,1643.7,430958.92,1044.96,0.895714286,81,44,49,31.86,68.14
Castor seed,2003,Kharif     ,Chhattisgarh,84.0,27,1643.7,8314.32,20.16,0.404444444,58,47,56,30.44,69.1
Coriander,2003,Whole Year ,Chhattisgarh,3958.0,1159,1643.7,391762.84,949.92,0.265333333,64,62,75,28.61,55.32
Cotton(lint),2003,Kharif     ,Chhattisgarh,92.0,182,1643.7,9106.16,22.08,1.832,77,32,46,25.31,72.8
Dry chillies,2003,Whole Year ,Chhattisgarh,6486.0,4248,1643.7,641984.28,1556.64,0.645,73,66,51,33.82,61.21
Garlic,2003,Whole Year ,Chhattisgarh,910.0,2576,1643.7,90071.8,218.4,3.008571429,109,68,30,27.69,54.32
Ginger,2003,Whole Year ,Chhattisgarh,1291.0,1353,1643.7,127783.18,309.84,1.204666667,84,41,77,29.42,68.97
Gram,2003,Rabi       ,Chhattisgarh,204701.0,197332,1643.7,20261304.98,49128.24,0.906875,135,73,54,26.23,51.8
Groundnut,2003,Kharif     ,Chhattisgarh,36318.0,40240,1643.7,3594755.64,8716.32,1.069333333,76,37,36,31.71,54.81
Horse-gram,2003,Kharif     ,Chhattisgarh,52598.0,17492,1643.7,5206150.04,12623.52,0.324375,132,46,49,25.12,58.76
Horse-gram,2003,Kharif     ,Chhattisgarh,52598.0,17492,1643.7,5206150.04,12623.52,0.324375,125,27,37,32.16,89.63
Horse-gram,2003,Rabi       ,Chhattisgarh,3149.0,910,1643.7,311688.02,755.76,0.3275,132,46,49,25.12,58.76
Horse-gram,2003,Rabi       ,Chhattisgarh,3149.0,910,1643.7,311688.02,755.76,0.3275,125,27,37,32.16,89.63
Jowar,2003,Kharif     ,Chhattisgarh,7595.0,7603,1643.7,751753.1,1822.8,0.942,69,25,49,21.62,82.34
Khesari,2003,Rabi       ,Chhattisgarh,460893.0,278840,1643.7,45619189.14,110614.32,0.622,114,30,35,30.63,71.67
Linseed,2003,Rabi       ,Chhattisgarh,74975.0,23092,1643.7,7421025.5,17994.0,0.312666667,134,48,73,27.15,59.3
Maize,2003,Kharif     ,Chhattisgarh,98575.0,135048,1643.7,9756953.5,23658.0,1.20625,98,77,23,30.48,70.76
Masoor,2003,Rabi       ,Chhattisgarh,18024.0,6163,1643.7,1784015.52,4325.76,0.313333333,50,60,34,27.97,75.96
Mesta,2003,Kharif     ,Chhattisgarh,1219.0,2432,1643.7,120656.62,292.56,2.107857143,59,77,46,22.01,50.18
Moong(Green Gram),2003,Kharif     ,Chhattisgarh,9804.0,2713,1643.7,970399.92,2352.96,0.258125,96,24,23,27.15,89.52
Moong(Green Gram),2003,Kharif     ,Chhattisgarh,9804.0,2713,1643.7,970399.92,2352.96,0.258125,108,26,54,34.47,75.07
Moong(Green Gram),2003,Rabi       ,Chhattisgarh,8197.0,2081,1643.7,811339.06,1967.28,0.238,96,24,23,27.15,89.52
Moong(Green Gram),2003,Rabi       ,Chhattisgarh,8197.0,2081,1643.7,811339.06,1967.28,0.238,108,26,54,34.47,75.07
Niger seed,2003,Kharif     ,Chhattisgarh,74381.0,13100,1643.7,7362231.38,17851.44,0.192857143,145,41,82,31.32,89.53
Onion,2003,Whole Year ,Chhattisgarh,4441.0,32548,1643.7,439570.18,1065.84,7.334,111,78,85,24.5,68.76
Other  Rabi pulses,2003,Rabi       ,Chhattisgarh,1318.0,429,1643.7,130455.64,316.32,0.336666667,135,66,58,34.16,74.94
Other Kharif pulses,2003,Kharif     ,Chhattisgarh,5479.0,1738,1643.7,542311.42,1314.96,0.331333333,67,72,47,31.68,68.46
Peas & beans (Pulses),2003,Rabi       ,Chhattisgarh,17307.0,6497,1643.7,1713046.86,4153.68,0.34625,95,73,53,25.47,50.38
Potato,2003,Whole Year ,Chhattisgarh,10228.0,49238,1643.7,1012367.44,2454.72,5.158125,81,23,52,29.05,84.0
Ragi,2003,Kharif     ,Chhattisgarh,10647.0,3109,1643.7,1053840.06,2555.28,0.265454545,76,51,69,26.4,67.96
Rapeseed &Mustard,2003,Rabi       ,Chhattisgarh,55314.0,22789,1643.7,5474979.72,13275.36,0.395625,141,38,79,21.45,68.84
Rice,2003,Kharif     ,Chhattisgarh,3828992.0,5567644,1643.7,378993628.2,918958.08,1.4375,67,64,61,32.09,64.4
Safflower,2003,Rabi       ,Chhattisgarh,880.0,214,1643.7,87102.4,211.2,0.193333333,88,52,47,22.87,67.31
Sannhamp,2003,Whole Year ,Chhattisgarh,1702.0,577,1643.7,168463.96,408.48,0.3225,98,20,46,26.87,79.02
Sesamum,2003,Kharif     ,Chhattisgarh,25084.0,7099,1643.7,2482814.32,6020.16,0.288125,142,73,20,30.54,78.02
Small millets,2003,Kharif     ,Chhattisgarh,251048.0,64646,1643.7,24848731.04,60251.52,0.253125,131,65,27,33.98,82.34
Soyabean,2003,Kharif     ,Chhattisgarh,20835.0,18376,1643.7,2062248.3,5000.4,0.99,93,60,65,20.94,88.99
Sugarcane,2003,Whole Year ,Chhattisgarh,5148.0,13290,1643.7,509549.04,1235.52,2.842666667,121,75,43,25.9,65.65
Sunflower,2003,Kharif     ,Chhattisgarh,6092.0,2076,1643.7,602986.16,1462.08,0.379285714,103,63,59,29.22,63.56
Sweet potato,2003,Whole Year ,Chhattisgarh,2665.0,15235,1643.7,263781.7,639.6,5.71625,144,69,70,31.69,69.74
Tobacco,2003,Whole Year ,Chhattisgarh,41.0,23,1643.7,4058.18,9.84,0.656,83,60,43,33.81,56.18
Turmeric,2003,Whole Year ,Chhattisgarh,678.0,616,1643.7,67108.44,162.72,1.079375,120,27,41,20.01,80.32
Urad,2003,Kharif     ,Chhattisgarh,115663.0,33645,1643.7,11448323.74,27759.12,0.3,85,51,87,29.42,73.25
Urad,2003,Kharif     ,Chhattisgarh,115663.0,33645,1643.7,11448323.74,27759.12,0.3,67,49,27,20.1,58.45
Urad,2003,Rabi       ,Chhattisgarh,5621.0,1438,1643.7,556366.58,1349.04,0.265833333,85,51,87,29.42,73.25
Urad,2003,Rabi       ,Chhattisgarh,5621.0,1438,1643.7,556366.58,1349.04,0.265833333,67,49,27,20.1,58.45
Wheat,2003,Rabi       ,Chhattisgarh,106109.0,113138,1643.7,10502668.82,25466.16,1.20875,87,65,77,31.81,84.56
Arhar/Tur,2003,Kharif     ,Delhi,134.0,189,962.3,13263.32,32.16,1.41,108,47,34,22.24,74.76
Bajra,2003,Kharif     ,Delhi,2334.0,3762,962.3,231019.32,560.16,1.61,58,60,27,33.42,51.36
Barley,2003,Kharif     ,Delhi,86.0,255,962.3,8512.28,20.64,2.97,122,71,61,22.33,57.86
Gram,2003,Rabi       ,Delhi,42.0,64,962.3,4157.16,10.08,1.52,121,51,58,31.46,85.64
Jowar,2003,Kharif     ,Delhi,8686.0,10727,962.3,859740.28,2084.64,1.23,100,44,54,24.34,65.24
Maize,2003,Kharif     ,Delhi,93.0,184,962.3,9205.14,22.32,1.98,84,53,60,28.36,89.37
Other Kharif pulses,2003,Kharif     ,Delhi,163.0,230,962.3,16133.74,39.12,1.41,131,52,67,29.13,71.19
Potato,2003,Whole Year ,Delhi,62.0,306,962.3,6136.76,14.88,4.94,54,32,63,23.1,58.32
Rice,2003,Kharif     ,Delhi,6549.0,17909,962.3,648220.02,1571.76,2.73,63,44,54,24.48,73.76
Sugarcane,2003,Whole Year ,Delhi,4.0,293,962.3,395.92,0.96,73.25,141,61,46,21.61,54.09
Wheat,2003,Rabi       ,Delhi,18973.0,82893,962.3,1877947.54,4553.52,4.37,79,59,84,20.08,82.3
Arhar/Tur,2003,Kharif     ,Gujarat,296700.0,258000,902.5,29367366.0,71208.0,0.915217391,53,58,89,23.59,75.11
Bajra,2003,Kharif     ,Gujarat,900700.0,1234300,902.5,89151286.0,216168.0,1.421363636,88,75,85,27.74,88.56
Bajra,2003,Kharif     ,Gujarat,900700.0,1234300,902.5,89151286.0,216168.0,1.421363636,133,63,82,30.7,77.6
Bajra,2003,Summer     ,Gujarat,170500.0,365500,902.5,16876090.0,40920.0,2.178947368,88,75,85,27.74,88.56
Bajra,2003,Summer     ,Gujarat,170500.0,365500,902.5,16876090.0,40920.0,2.178947368,133,63,82,30.7,77.6
Banana,2003,Whole Year ,Gujarat,28200.0,2027400,902.5,2791236.0,6768.0,65.116,113,68,48,31.9,51.97
Castor seed,2003,Kharif     ,Gujarat,290300.0,541100,902.5,28733894.0,69672.0,1.981818182,74,76,50,21.05,69.06
Cotton(lint),2003,Kharif     ,Gujarat,1641000.0,4026900,902.5,162426180.0,393840.0,2.818181818,77,63,83,24.09,71.25
Dry chillies,2003,Whole Year ,Gujarat,9100.0,8400,902.5,900718.0,2184.0,0.874,125,67,72,31.55,86.67
Garlic,2003,Whole Year ,Gujarat,27100.0,189800,902.5,2682358.0,6504.0,6.95,115,29,87,27.21,67.3
Gram,2003,Rabi       ,Gujarat,149600.0,132300,902.5,14807408.0,35904.0,0.8475,127,78,44,22.73,73.74
Groundnut,2003,Kharif     ,Gujarat,1912800.0,4336500,902.5,189328944.0,459072.0,2.132272727,71,76,32,25.88,57.44
Groundnut,2003,Kharif     ,Gujarat,1912800.0,4336500,902.5,189328944.0,459072.0,2.132272727,80,50,59,24.05,59.79
Groundnut,2003,Summer     ,Gujarat,90600.0,141000,902.5,8967588.0,21744.0,1.52952381,71,76,32,25.88,57.44
Groundnut,2003,Summer     ,Gujarat,90600.0,141000,902.5,8967588.0,21744.0,1.52952381,80,50,59,24.05,59.79
Guar seed,2003,Whole Year ,Gujarat,266000.0,203800,902.5,26328680.0,63840.0,0.798,72,63,26,20.76,71.94
Jowar,2003,Kharif     ,Gujarat,122100.0,135900,902.5,12085458.0,29304.0,1.010526316,97,30,51,31.45,77.88
Jowar,2003,Kharif     ,Gujarat,122100.0,135900,902.5,12085458.0,29304.0,1.010526316,69,44,43,24.38,67.42
Jowar,2003,Rabi       ,Gujarat,50500.0,37700,902.5,4998490.0,12120.0,0.720833333,97,30,51,31.45,77.88
Jowar,2003,Rabi       ,Gujarat,50500.0,37700,902.5,4998490.0,12120.0,0.720833333,69,44,43,24.38,67.42
Maize,2003,Kharif     ,Gujarat,484400.0,831900,902.5,47945912.0,116256.0,1.825,87,65,20,34.18,67.31
Moong(Green Gram),2003,Kharif     ,Gujarat,206800.0,121200,902.5,20469064.0,49632.0,0.597083333,104,73,66,33.32,60.24
Moth,2003,Kharif     ,Gujarat,47200.0,27100,902.5,4671856.0,11328.0,0.533333333,117,71,70,30.74,77.93
Onion,2003,Whole Year ,Gujarat,49100.0,1474600,902.5,4859918.0,11784.0,31.65611111,128,64,55,24.9,50.22
Other  Rabi pulses,2003,Rabi       ,Gujarat,5100.0,2600,902.5,504798.0,1224.0,0.665,137,53,46,24.2,70.51
Other Kharif pulses,2003,Kharif     ,Gujarat,19700.0,9400,902.5,1949906.0,4728.0,0.535294118,138,78,89,27.13,50.14
Potato,2003,Whole Year ,Gujarat,31000.0,738300,902.5,3068380.0,7440.0,22.146,50,39,61,25.32,73.74
Ragi,2003,Kharif     ,Gujarat,20800.0,24000,902.5,2058784.0,4992.0,1.0775,56,26,87,33.52,51.24
Rapeseed &Mustard,2003,Rabi       ,Gujarat,269300.0,395500,902.5,26655314.0,64632.0,1.439,106,52,89,21.85,87.6
Rice,2003,Kharif     ,Gujarat,651400.0,1193200,902.5,64475572.0,156336.0,1.7125,144,76,32,30.87,69.12
Rice,2003,Kharif     ,Gujarat,651400.0,1193200,902.5,64475572.0,156336.0,1.7125,61,54,44,29.16,77.36
Rice,2003,Summer     ,Gujarat,23900.0,83800,902.5,2365622.0,5736.0,3.565714286,144,76,32,30.87,69.12
Rice,2003,Summer     ,Gujarat,23900.0,83800,902.5,2365622.0,5736.0,3.565714286,61,54,44,29.16,77.36
Sesamum,2003,Kharif     ,Gujarat,402400.0,240800,902.5,39829552.0,96576.0,0.588181818,54,48,41,32.09,84.14
Small millets,2003,Kharif     ,Gujarat,6800.0,2100,902.5,673064.0,1632.0,0.272857143,99,71,40,28.14,59.42
Small millets,2003,Kharif     ,Gujarat,6800.0,2100,902.5,673064.0,1632.0,0.272857143,91,31,34,29.44,71.6
Small millets,2003,Rabi       ,Gujarat,10300.0,3700,902.5,1019494.0,2472.0,0.401111111,99,71,40,28.14,59.42
Small millets,2003,Rabi       ,Gujarat,10300.0,3700,902.5,1019494.0,2472.0,0.401111111,91,31,34,29.44,71.6
Sugarcane,2003,Whole Year ,Gujarat,176200.0,12669000,902.5,17440276.0,42288.0,71.59666667,61,24,86,34.44,84.54
Tobacco,2003,Whole Year ,Gujarat,68200.0,124800,902.5,6750436.0,16368.0,1.79,67,31,56,21.38,71.51
Urad,2003,Kharif     ,Gujarat,107500.0,71300,902.5,10640350.0,25800.0,0.666521739,115,48,64,21.57,65.71
Wheat,2003,Rabi       ,Gujarat,759500.0,2036500,902.5,75175310.0,182280.0,2.68875,123,54,45,25.9,64.75
Arhar/Tur,2003,Kharif     ,Haryana,25807.0,31000,592.3,2554376.86,6193.68,1.11,128,39,74,27.09,65.36
Bajra,2003,Kharif     ,Haryana,624513.0,886300,592.3,61814296.74,149883.12,1.646315789,143,56,69,23.0,74.62
Banana,2003,Whole Year ,Haryana,52.0,0,592.3,5146.96,12.48,0.0,66,79,54,21.24,51.83
Barley,2003,Rabi       ,Haryana,27100.0,73000,592.3,2682358.0,6504.0,1.691052632,117,20,60,20.33,66.62
Cotton(lint),2003,Kharif     ,Haryana,526038.0,1407000,592.3,52067241.24,126249.12,1.436315789,120,35,30,31.47,72.42
Dry chillies,2003,Whole Year ,Haryana,1342.0,1400,592.3,132831.16,322.08,1.01,111,49,27,27.28,81.46
Gram,2003,Rabi       ,Haryana,122845.0,100000,592.3,12159198.1,29482.8,0.623684211,90,28,73,32.65,71.2
Groundnut,2003,Kharif     ,Haryana,1538.0,1100,592.3,152231.24,369.12,0.501538462,144,61,20,25.41,87.05
Horse-gram,2003,Kharif     ,Haryana,4336.0,700,592.3,429177.28,1040.64,0.088,83,29,39,30.55,67.75
Jowar,2003,Kharif     ,Haryana,100945.0,26000,592.3,9991536.1,24226.8,0.186363636,119,32,53,27.33,76.03
Maize,2003,Kharif     ,Haryana,16570.0,41000,592.3,1640098.6,3976.8,0.960588235,94,67,76,29.18,50.7
Masoor,2003,Rabi       ,Haryana,6264.0,5100,592.3,620010.72,1503.36,0.64375,107,39,32,25.55,59.54
Moong(Green Gram),2003,Kharif     ,Haryana,25215.0,4000,592.3,2495780.7,6051.6,0.081875,100,48,73,21.22,82.62
Moth,2003,Kharif     ,Haryana,10365.0,800,592.3,1025927.7,2487.6,0.031428571,83,76,72,34.21,73.45
Onion,2003,Whole Year ,Haryana,3319.0,80700,592.3,328514.62,796.56,21.084,93,23,71,32.54,87.85
Peas & beans (Pulses),2003,Rabi       ,Haryana,994.0,1100,592.3,98386.12,238.56,0.975833333,64,65,25,24.68,80.12
Potato,2003,Whole Year ,Haryana,10521.0,256900,592.3,1041368.58,2525.04,22.60571429,127,68,55,34.38,67.99
Rapeseed &Mustard,2003,Rabi       ,Haryana,619257.0,965000,592.3,61294057.86,148621.68,1.351052632,119,47,44,24.51,81.15
Rice,2003,Kharif     ,Haryana,1015191.0,2790000,592.3,100483605.2,243645.84,2.733333333,99,56,77,26.64,68.71
Sannhamp,2003,Whole Year ,Haryana,462.0,100,592.3,45728.76,110.88,0.056,81,32,74,31.33,63.21
Sesamum,2003,Kharif     ,Haryana,3569.0,1000,592.3,353259.62,856.56,0.130555556,116,76,22,24.64,51.88
Sugarcane,2003,Whole Year ,Haryana,160257.0,9280000,592.3,15862237.86,38461.68,50.10277778,52,22,47,24.87,84.62
Sunflower,2003,Rabi       ,Haryana,5785.0,9700,592.3,572599.3,1388.4,0.855555556,135,56,87,26.15,66.76
Sweet potato,2003,Whole Year ,Haryana,77.0,1600,592.3,7621.46,18.48,16.482,135,67,57,27.03,77.41
Urad,2003,Kharif     ,Haryana,2419.0,400,592.3,239432.62,580.56,0.042857143,123,38,53,21.85,56.12
Wheat,2003,Rabi       ,Haryana,2315496.0,9114000,592.3,229187794.1,555719.04,3.825789474,100,47,32,20.26,83.16
other oilseeds,2003,Rabi       ,Haryana,24.0,0,592.3,2375.52,5.76,0.0,116,38,24,33.79,82.97
Arhar/Tur,2003,Kharif     ,Jharkhand,22500.06,32221,1258.3,2227055.939,5400.0144,1.425,125,36,79,25.3,69.29
Barley,2003,Rabi       ,Jharkhand,4519.82,3990,1258.3,447371.7836,1084.7568,0.943333333,142,37,36,21.53,76.89
Gram,2003,Rabi       ,Jharkhand,15155.21,12862,1258.3,1500062.686,3637.2504,0.9075,97,37,76,31.39,70.86
Maize,2003,Autumn     ,Jharkhand,89591.91,136371,1258.3,8867807.252,21502.0584,1.39,66,76,50,24.43,72.09
Masoor,2003,Rabi       ,Jharkhand,6993.61,8681,1258.3,692227.5178,1678.4664,1.175,56,42,84,22.72,85.55
Onion,2003,Whole Year ,Jharkhand,1137.98,9198,1258.3,112637.2604,273.1152,9.12,62,59,85,34.44,88.68
Potato,2003,Rabi       ,Jharkhand,9350.04,73414,1258.3,925466.9592,2244.0096,6.98625,115,69,52,33.81,64.7
Potato,2003,Rabi       ,Jharkhand,9350.04,73414,1258.3,925466.9592,2244.0096,6.98625,53,28,23,21.59,63.27
Potato,2003,Winter     ,Jharkhand,13174.37,121890,1258.3,1303999.143,3161.8488,8.628333333,115,69,52,33.81,64.7
Potato,2003,Winter     ,Jharkhand,13174.37,121890,1258.3,1303999.143,3161.8488,8.628333333,53,28,23,21.59,63.27
Ragi,2003,Autumn     ,Jharkhand,73301.3,50316,1258.3,7255362.674,17592.312,0.79,59,48,74,33.49,62.15
Rapeseed &Mustard,2003,Rabi       ,Jharkhand,6119.0,4851,1258.3,605658.62,1468.56,0.803636364,137,70,43,33.36,80.83
Rice,2003,Autumn     ,Jharkhand,614160.1,418254,1258.3,60789566.7,147398.424,0.74,66,61,51,29.52,78.92
Rice,2003,Autumn     ,Jharkhand,614160.1,418254,1258.3,60789566.7,147398.424,0.74,101,48,66,27.95,51.75
Rice,2003,Winter     ,Jharkhand,1437560.59,1525099,1258.3,142289747.2,345014.5416,0.998636364,66,61,51,29.52,78.92
Rice,2003,Winter     ,Jharkhand,1437560.59,1525099,1258.3,142289747.2,345014.5416,0.998636364,101,48,66,27.95,51.75
Sugarcane,2003,Whole Year ,Jharkhand,338.45,966,1258.3,33499.781,81.228,2.85,55,21,35,23.26,53.54
Wheat,2003,Rabi       ,Jharkhand,60269.7,80183,1258.3,5965494.906,14464.728,1.360909091,132,79,40,21.82,75.85
Arhar/Tur,2003,Kharif     ,Madhya Pradesh,311195.0,251757,1163.0,30802081.1,74686.8,0.743333333,118,36,86,29.1,61.0
Bajra,2003,Kharif     ,Madhya Pradesh,201165.0,281430,1163.0,19911311.7,48279.6,1.078055556,145,76,50,32.33,53.66
Banana,2003,Whole Year ,Madhya Pradesh,15985.0,457194,1163.0,1582195.3,3836.4,17.95652174,123,75,33,30.33,66.55
Barley,2003,Rabi       ,Madhya Pradesh,84256.0,123182,1163.0,8339658.88,20221.44,1.6195,58,64,25,22.71,85.1
Castor seed,2003,Kharif     ,Madhya Pradesh,1523.0,572,1163.0,150746.54,365.52,0.25,140,50,88,24.35,64.65
Coriander,2003,Whole Year ,Madhya Pradesh,125074.0,46968,1163.0,12379824.52,30017.76,0.335957447,126,47,48,28.2,77.83
Cotton(lint),2003,Kharif     ,Madhya Pradesh,557169.0,628304,1163.0,55148587.62,133720.56,0.972916667,132,62,74,29.37,86.02
Dry chillies,2003,Whole Year ,Madhya Pradesh,48810.0,38365,1163.0,4831213.8,11714.4,0.623958333,70,67,56,21.08,56.77
Garlic,2003,Whole Year ,Madhya Pradesh,33158.0,137875,1163.0,3281978.84,7957.92,3.003333333,73,71,78,29.21,74.39
Ginger,2003,Kharif     ,Madhya Pradesh,5067.0,6284,1163.0,501531.66,1216.08,1.12975,53,58,55,31.04,86.31
Gram,2003,Rabi       ,Madhya Pradesh,2785209.0,2581889,1163.0,275679986.8,668450.16,0.912083333,73,79,78,22.72,57.74
Groundnut,2003,Kharif     ,Madhya Pradesh,214353.0,247578,1163.0,21216659.94,51444.72,1.045416667,108,49,83,23.69,89.55
Horse-gram,2003,Kharif     ,Madhya Pradesh,30880.0,9527,1163.0,3056502.4,7411.2,0.254705882,148,54,62,23.88,64.6
Horse-gram,2003,Kharif     ,Madhya Pradesh,30880.0,9527,1163.0,3056502.4,7411.2,0.254705882,52,67,61,34.1,58.7
Horse-gram,2003,Rabi       ,Madhya Pradesh,152.0,43,1163.0,15044.96,36.48,0.305,148,54,62,23.88,64.6
Horse-gram,2003,Rabi       ,Madhya Pradesh,152.0,43,1163.0,15044.96,36.48,0.305,52,67,61,34.1,58.7
Jowar,2003,Kharif     ,Madhya Pradesh,768501.0,936803,1163.0,76066228.98,184440.24,1.225833333,117,70,79,26.11,83.51
Jowar,2003,Kharif     ,Madhya Pradesh,768501.0,936803,1163.0,76066228.98,184440.24,1.225833333,89,39,81,27.96,68.72
Jowar,2003,Rabi       ,Madhya Pradesh,3431.0,4182,1163.0,339600.38,823.44,1.528666667,117,70,79,26.11,83.51
Jowar,2003,Rabi       ,Madhya Pradesh,3431.0,4182,1163.0,339600.38,823.44,1.528666667,89,39,81,27.96,68.72
Linseed,2003,Rabi       ,Madhya Pradesh,143384.0,61655,1163.0,14192148.32,34412.16,0.579148936,97,35,83,30.86,76.83
Maize,2003,Kharif     ,Madhya Pradesh,898618.0,1858342,1163.0,88945209.64,215668.32,1.916041667,103,53,77,25.57,69.58
Masoor,2003,Rabi       ,Madhya Pradesh,17.0,8,1163.0,1682.66,4.08,0.47,84,33,21,21.58,75.74
Mesta,2003,Kharif     ,Madhya Pradesh,4700.0,10600,1163.0,465206.0,1128.0,2.075,144,45,27,29.81,51.41
Moong(Green Gram),2003,Kharif     ,Madhya Pradesh,709.0,172,1163.0,70176.82,170.16,0.24,105,39,75,30.01,64.01
Moong(Green Gram),2003,Kharif     ,Madhya Pradesh,709.0,172,1163.0,70176.82,170.16,0.24,138,61,55,23.91,76.29
Moong(Green Gram),2003,Rabi       ,Madhya Pradesh,13.0,3,1163.0,1286.74,3.12,0.23,105,39,75,30.01,64.01
Moong(Green Gram),2003,Rabi       ,Madhya Pradesh,13.0,3,1163.0,1286.74,3.12,0.23,138,61,55,23.91,76.29
Niger seed,2003,Kharif     ,Madhya Pradesh,102368.0,23455,1163.0,10132384.64,24568.32,0.245,89,70,88,20.53,64.03
Onion,2003,Whole Year ,Madhya Pradesh,30958.0,416137,1163.0,3064222.84,7429.92,12.86875,126,43,32,29.98,81.03
Other  Rabi pulses,2003,Rabi       ,Madhya Pradesh,737005.0,377983,1163.0,72948754.9,176881.2,0.491489362,117,62,58,30.55,88.44
Other Kharif pulses,2003,Kharif     ,Madhya Pradesh,725486.0,264389,1163.0,71808604.28,174116.64,0.344791667,95,37,25,20.39,51.5
Peas & beans (Pulses),2003,Rabi       ,Madhya Pradesh,5.0,2,1163.0,494.9,1.2,0.4,127,62,38,30.4,84.21
Potato,2003,Whole Year ,Madhya Pradesh,46546.0,667656,1163.0,4607123.08,11171.04,13.33404255,62,28,44,34.08,56.76
Ragi,2003,Kharif     ,Madhya Pradesh,514.0,136,1163.0,50875.72,123.36,0.237142857,76,38,22,22.68,86.69
Rapeseed &Mustard,2003,Rabi       ,Madhya Pradesh,535540.0,579990,1163.0,53007749.2,128529.6,0.743404255,55,39,72,27.82,87.87
Rice,2003,Kharif     ,Madhya Pradesh,1708583.0,1743430,1163.0,169115545.3,410059.92,0.997916667,66,61,47,30.45,72.77
Safflower,2003,Rabi       ,Madhya Pradesh,632.0,172,1163.0,62555.36,151.68,0.24,85,49,45,23.45,69.16
Sannhamp,2003,Whole Year ,Madhya Pradesh,5584.0,11127,1163.0,552704.32,1340.16,2.155777778,148,45,66,31.27,80.34
Sesamum,2003,Kharif     ,Madhya Pradesh,144080.0,50572,1163.0,14261038.4,34579.2,0.432916667,130,50,27,33.02,86.72
Small millets,2003,Kharif     ,Madhya Pradesh,400775.0,122503,1163.0,39668709.5,96186.0,0.301621622,51,54,76,32.22,59.3
